query_id,text,indicative_terms,trecis_category_mapping,event_id,event_title,event_dataset,event_description,event_trecis_id,event_type,event_url
CrisisFACTS-General-q011,How much monetary damage has been caused,damage cost,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q012,How much rain-fall as occured,rain rainfall,Report-Weather,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q013,What are the wind speeds,wind speed mph,Report-Weather,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q014,What areas are being evacuated,evacuation,CallToAction-MovePeople,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q015,What areas are predicted to be impacted,forecast cone path,Report-EmergingThreats,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q016,What areas are without power,electricity power,Report-EmergingThreats,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q017,What at-risk groups are being impacted,Are there goods needing delivered,Are there goods needing delivered,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q018,What barriers are hindering response efforts,smoke,Report-EmergingThreats,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q019,What bridges have been closed,bridges,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q020,What curfews are in place,curfew,Report-Official,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q021,Are there goods needing delivered,food water transport,Request-GoodsServices,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q022,What events have been canceled,canceled,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q023,What goods are being requested,food water sandbags,Request-GoodsServices,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q024,What preparations are being made,various,None,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q025,What regions have announced a state of emergency,state of emergency,Report-Official,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q026,What roads are blocked / closed,tree block road closures,Report-EmergingThreats,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q027,What roads have been re-opened,road re-opened,None,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q028,What services have been closed,closed,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q029,What shelters are open,shelters,Report-ServiceAvailable,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q030,What third-party support groups are active,SCEMD icrc,None,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q031,What traffic diversions are in effect,traffic,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q032,What warnings are currently in effect,warning,Report-Official,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q033,What watches are currently in effect,watch,Report-Official,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q034,Where are emergency services deployed,service teams emergency services,None,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q035,Where are emergency services needed,ambulance medics,Request-SearchAndRescue,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q036,Where are evacuation centres,evacuation center shelters,Report-ServiceAvailable,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q037,Where are evacuations needed,evacuation evacs,CallToAction-MovePeople,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q038,Where are firefighters needed,fire fighters engines,Request=GoodsServices,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q039,Where are people needing rescued,rescue,Request-SearchAndRescue,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q040,Where are public officials located,PIO public information officer,None,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q041,Where are recovery efforts taking place,recovery effort,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q042,Where has building or infrastructure damage occurred,building damage,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q043,Where has flooding occured,flooding,Report-EmergingThreats,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q044,Where are volunteers being requested,volunteer,CallToAction-Volunteer,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q045,What hazardous chemicals or materials are involved,fuel hazard waste infectious chemical,None,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-General-q046,Where has road damage occured,road sinkhole,Report-EmergingThreats,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-Wildfire-q001,What area has the wildfire burned,acres size,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-Wildfire-q002,Where are wind speeds expected to be high,wind speed,Report-Weather,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-Wildfire-q003,Are helicopters available,helicopters,Report-ServiceAvailable,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-Wildfire-q004,Where have homes been damaged or destroyed,homes destroyed damaged,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-Wildfire-q005,How quickly is the fire spreading,acres per hour,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
CrisisFACTS-Wildfire-q006,What is the fire containment level,containment,Report-Factoid,CrisisFACTS-001,Lilac Wildfire 2017,2017_12_07_lilac_wildfire.2017,"The Lilac Fire was a fire that burned in northern San Diego County, California, United States, and the second-costliest one of multiple wildfires that erupted in Southern California in December 2017.",TRECIS-CTIT-H-092,Wildfire,https://en.wikipedia.org/wiki/Lilac_Fire
